# http://java.sun.com/j2se/1.5.0/docs/guide/intl/locale.doc.html
# http://developers.sun.com/techtopics/global/index.html

Sun ;	ar ;		modern
IBM ;	ar 	;	moderate
IBM ;	cs 	;	moderate
IBM ;	da 	;	modern
IBM ;	nl 	;	modern
IBM ;	fi 	;	modern
IBM ;	el 	;	moderate
IBM ;	he 	;	moderate
IBM ;	hu 	;	moderate
IBM ;	nb 	;	modern
IBM ;	pl 	;	modern
IBM ;	ru 	;	moderate
IBM ;	sv 	;	modern
IBM ;	tr 	;	moderate
# IBM Group 3
IBM ;	hi 	;	moderate
IBM ;	th 	;	moderate
IBM ;	sq 	;	moderate
IBM ;	bg 	;	moderate
IBM ;	be 	;	moderate
IBM ;	ca 	;	moderate
IBM ;	hr 	;	moderate
IBM ;	et 	;	moderate
IBM ;	is 	;	moderate
IBM ;	lv 	;	moderate
IBM ;	lt 	;	moderate
IBM ;	mk 	;	moderate
IBM ;	ro 	;	moderate
IBM ;	sr 	;	moderate
IBM ;	sk 	;	moderate
IBM ;	sl 	;	moderate
IBM ;	uk 	;	moderate
# IBM other
IBM ;	as 	;	basic
IBM ;	bn 	;	basic
IBM ;	gu 	;	basic
IBM ;	id 	;	basic
IBM ;	kn 	;	basic
IBM ;	ms 	;	basic
IBM ;	ml 	;	basic
IBM ;	mr 	;	basic
IBM ;	or 	;	basic
IBM ;	pa 	;	basic
IBM ;	ta 	;	basic
IBM ;	te 	;	basic
IBM ;	vi 	;	basic
IBM ;	ur 	;	basic
IBM ;	az 	;	basic
IBM ;	kk 	;	basic
IBM ;	mt 	;	basic
IBM ;	cy 	;	basic
IBM ;	si 	;	basic
IBM ;	ka 	;	basic
IBM ;	hy 	;	basic
IBM ;	ne 	;	basic
IBM ;	kok 	;	basic
IBM ;	sw 	;	basic

Google	;	en	;	comprehensive	; American English
Google	;	ar	;	modern	; Arabic
Google	;	de	;	modern	; German
Google	;	en_GB	;	modern	; British English
Google	;	es	;	modern	; Spanish
Google	;	fr	;	modern	; French
Google	;	it	;	modern	; Italian
Google	;	ja	;	modern	; Japanese
Google	;	ko	;	modern	; Korean
Google	;	nl	;	modern	; Dutch
Google	;	pl	;	modern	; Polish
Google	;	pt	;	modern	; Brazilian Portuguese
Google	;	ru	;	modern	; Russian
Google	;	th	;	modern	; Thai
Google	;	tr	;	modern	; Turkish
Google	;	zh	;	modern	; Simplified Chinese
Google	;	zh_Hant	;	modern	; Traditional Chinese
Google	;	bg	;	moderate	; Bulgarian
Google	;	ca	;	moderate	; Catalan
Google	;	cs	;	moderate	; Czech
Google	;	da	;	moderate	; Danish
Google	;	el	;	moderate	; Greek
Google	;	fi	;	moderate	; Finnish
Google	;	he	;	moderate	; Hebrew
Google	;	hi	;	moderate	; Hindi
Google	;	hr	;	moderate	; Croatian
Google	;	hu	;	moderate	; Hungarian
Google	;	id	;	moderate	; Indonesian
Google	;	lt	;	moderate	; Lithuanian
Google	;	lv	;	moderate	; Latvian
Google	;	nb	;	moderate	; Norwegian (Bokmål)
Google	;	pt_PT	;	moderate	; Iberian Portuguese
Google	;	ro	;	moderate	; Romanian
Google	;	sk	;	moderate	; Slovak
Google	;	sl	;	moderate	; Slovenian
Google	;	sr	;	moderate	; Serbian
Google	;	sv	;	moderate	; Swedish
Google	;	tl	;	moderate	; Tagalog/Filipino
Google	;	uk	;	moderate	; Ukrainian
Google	;	vi	;	moderate	; Vietnamese
Google	;	lo	;	basic	; Lao
Google	;	km	;	basic	; Khmer
Google	;	ms	;	basic	; Malay
Google	;	bn	;	basic	; Bengali
Google	;	ur	;	basic	; Urdu

Apple	;	en	;	comprehensive
Apple	;	da	;	modern
Apple	;	de	;	modern
Apple	;	es	;	modern
Apple	;	fi	;	modern
Apple	;	fr	;	modern
Apple	;	it	;	modern
Apple	;	ja	;	modern
Apple	;	ko	;	modern
Apple	;	nb	;	modern
Apple	;	nl	;	modern
Apple	;	pl	;	modern
Apple	;	pt	;	modern
Apple	;	pt_PT	;	modern
Apple	;	pt_BR	;	modern
Apple	;	ru	;	modern
Apple	;	sv	;	modern
Apple	;	zh	;	modern
Apple	;	zh_Hant	;	modern
Apple	;	ar	;	moderate
Apple	;	bg	;	moderate
Apple	;	ca	;	moderate
Apple	;	cs	;	moderate
Apple	;	el	;	moderate
Apple	;	he	;	moderate
Apple	;	hr	;	moderate
Apple	;	hu	;	moderate
Apple	;	is	;	moderate
Apple	;	ro	;	moderate
Apple	;	sk	;	moderate
Apple	;	sl	;	moderate
Apple	;	sr	;	moderate
Apple	;	th	;	moderate
Apple	;	tl	;	moderate
Apple	;	tr	;	moderate
Apple	;	uk	;	moderate
Apple	;	vi	;	moderate
Apple	;	as	;	basic
Apple	;	az	;	basic
Apple	;	be	;	basic
Apple	;	bn	;	basic
Apple	;	bs	;	basic
Apple	;	cy	;	basic
Apple	;	et	;	basic
Apple	;	fa	;	basic
Apple	;	fil	;	basic
Apple	;	gu	;	basic
Apple	;	hi	;	basic
Apple	;	hy	;	basic
Apple	;	id	;	basic
Apple	;	ii	;	basic
Apple	;	kk	;	basic
Apple	;	km	;	basic
Apple	;	kn	;	basic
Apple	;	lo	;	basic
Apple	;	lt	;	basic
Apple	;	lv	;	basic
Apple	;	mk	;	basic
Apple	;	ml	;	basic
Apple	;	mn	;	basic
Apple	;	mr	;	basic
Apple	;	ms	;	basic
Apple	;	mt	;	basic
Apple	;	nn	;	basic
Apple	;	or	;	basic
Apple	;	pa	;	basic
Apple	;	sq	;	basic
Apple	;	ta	;	basic
Apple	;	te	;	basic
Apple	;	ug	;	basic
Apple	;	ur	;	basic

Adobe ; ar           ;    basic
Adobe ; az           ;    basic
Adobe ; be           ;    moderate
Adobe ; bg           ;    basic
Adobe ; bo           ;    basic
Adobe ; bs           ;    basic
Adobe ; ca           ;    basic
Adobe ; cs           ;    basic
Adobe ; da           ;    moderate
Adobe ; de           ;    comprehensive
Adobe ; el           ;    basic
Adobe ; en           ;    comprehensive
Adobe ; es           ;    basic
Adobe ; et           ;    basic
Adobe ; fa           ;    basic
Adobe ; fi           ;    basic
Adobe ; fr           ;    comprehensive
Adobe ; he           ;    moderate
Adobe ; hi           ;    basic
Adobe ; hr           ;    basic
Adobe ; hu           ;    basic
Adobe ; hy           ;    basic
Adobe ; id           ;    basic
Adobe ; is           ;    basic
Adobe ; it           ;    moderate
Adobe ; ja           ;    comprehensive
Adobe ; kk           ;    basic
Adobe ; km           ;    basic
Adobe ; ko           ;    moderate
Adobe ; lo           ;    basic
Adobe ; lt           ;    basic
Adobe ; lv           ;    basic
Adobe ; mk           ;    basic
Adobe ; mn_Mong      ;    basic
Adobe ; ms           ;    basic
Adobe ; nb           ;    moderate
Adobe ; nl           ;    moderate
Adobe ; nn           ;    moderate
Adobe ; pl           ;    basic
Adobe ; pt           ;    moderate
Adobe ; ro           ;    basic
Adobe ; ru           ;    moderate
Adobe ; sr           ;    basic
Adobe ; ii           ;    basic
Adobe ; sk           ;    basic
Adobe ; sl           ;    basic
Adobe ; sq           ;    basic
Adobe ; sr           ;    basic
Adobe ; sv           ;    moderate
Adobe ; th           ;    basic
Adobe ; tr           ;    basic
Adobe ; ug           ;    basic
Adobe ; uk           ;    basic
Adobe ; vi           ;    basic
Adobe ; zh           ;    moderate
Adobe ; zh           ;    moderate
